run_id,log_file,start_line,end_line,version,quarter,input_start_date,summary_end_date,tester_start,gate_open,checkpoint,target,state,target_hit,return_balance_pct,return_equity_pct,peak_equity,max_dd_pct,total_trades,post_checkpoint_rows,trace_rows_reported,trace_overflow,settings_hash,gate_min,dyn_floor,dyn_trigger,dyn_floor_pct,adaptive_loss,strong_loss_trades,slippage
c4b8d96f9f68,/Users/olatreche/Library/Application Support/net.metaquotes.wine.metatrader4/drive_c/Program Files (x86)/MetaTrader 4/tester/logs/20260508.log,6,36,v6.0_or_early,2024Q1,2024-01-01,,,,,,,,,,,,,0,,,6f6295613dfa,6,,,,,,5
f9cdd780fc85,/Users/olatreche/Library/Application Support/net.metaquotes.wine.metatrader4/drive_c/Program Files (x86)/MetaTrader 4/tester/logs/20260508.log,37,96,v6.0_or_early,2024Q1,2024-01-01,,,,,,,,,,,,,0,,,6f6295613dfa,6,,,,,,5
87daf4f5737c,/Users/olatreche/Library/Application Support/net.metaquotes.wine.metatrader4/drive_c/Program Files (x86)/MetaTrader 4/tester/logs/20260508.log,97,179,v6.0_or_early,2024Q1,2024-02-01,,,,,,,,,,,,,0,,,6f6295613dfa,6,,,,,,5
4d9ce9a68175,/Users/olatreche/Library/Application Support/net.metaquotes.wine.metatrader4/drive_c/Program Files (x86)/MetaTrader 4/tester/logs/20260508.log,180,250,v6.0_or_early,2024Q1,2024-03-01,,,,,,,,,,,,,0,,,6f6295613dfa,6,,,,,,5
a5d16c1ce5b7,/Users/olatreche/Library/Application Support/net.metaquotes.wine.metatrader4/drive_c/Program Files (x86)/MetaTrader 4/tester/logs/20260508.log,251,328,v6.0_or_early,2024Q1,2024-01-01,,,,,,,,,,,,,0,,,81873e2b6091,6,,,,,,5
8ff8726c9cc0,/Users/olatreche/Library/Application Support/net.metaquotes.wine.metatrader4/drive_c/Program Files (x86)/MetaTrader 4/tester/logs/20260508.log,329,411,v6.0_or_early,2024Q1,2024-02-01,,,,,,,,,,,,,0,,,81873e2b6091,6,,,,,,5
7fc330c04581,/Users/olatreche/Library/Application Support/net.metaquotes.wine.metatrader4/drive_c/Program Files (x86)/MetaTrader 4/tester/logs/20260508.log,412,489,v6.0_or_early,2024Q1,2024-03-01,,,,,,,,,,,,,0,,,81873e2b6091,6,,,,,,5
bf988494a4a0,/Users/olatreche/Library/Application Support/net.metaquotes.wine.metatrader4/drive_c/Program Files (x86)/MetaTrader 4/tester/logs/20260508.log,490,543,v6.0_or_early,2024Q1,2024-01-01,,,,,,,,,,,,,0,,,6f08e104a16b,6,,,,,,5
5af0ea3ca584,/Users/olatreche/Library/Application Support/net.metaquotes.wine.metatrader4/drive_c/Program Files (x86)/MetaTrader 4/tester/logs/20260508.log,544,603,v6.0_or_early,2024Q1,2024-02-01,,,,,,,,,,,,,0,,,6f08e104a16b,6,,,,,,5
ef752e299760,/Users/olatreche/Library/Application Support/net.metaquotes.wine.metatrader4/drive_c/Program Files (x86)/MetaTrader 4/tester/logs/20260508.log,604,660,v6.0_or_early,2024Q1,2024-03-01,,,,,,,,,,,,,0,,,6f08e104a16b,6,,,,,,5
cc1d59b2566d,/Users/olatreche/Library/Application Support/net.metaquotes.wine.metatrader4/drive_c/Program Files (x86)/MetaTrader 4/tester/logs/20260508.log,661,700,v6.0_or_early,2024Q2,2024-04-01,,,,,,,,,,,,,0,,,6f08e104a16b,6,,,,,,5
16308e3177dd,/Users/olatreche/Library/Application Support/net.metaquotes.wine.metatrader4/drive_c/Program Files (x86)/MetaTrader 4/tester/logs/20260508.log,701,759,v6.0_or_early,2024Q2,2024-05-01,,,,,,,,,,,,,0,,,6f08e104a16b,6,,,,,,5
f570658bfa3f,/Users/olatreche/Library/Application Support/net.metaquotes.wine.metatrader4/drive_c/Program Files (x86)/MetaTrader 4/tester/logs/20260508.log,760,825,v6.0_or_early,2024Q1,2024-01-01,2024-03-28,2024.01.02 01:00,2024.01.02 07:00,2024.02.14 10:31,2024.03.06 16:32,TARGET_HIT,true,10.00,10.00,77001.89,3.08%,7,0,,,6f08e104a16b,6,,,,,,5
84921262a104,/Users/olatreche/Library/Application Support/net.metaquotes.wine.metatrader4/drive_c/Program Files (x86)/MetaTrader 4/tester/logs/20260508.log,826,896,v6.0_or_early,2024Q1,2024-01-01,2024-03-28,2024.01.02 01:00,2024.01.02 12:00,2024.02.14 10:31,2024.03.06 16:32,TARGET_HIT,true,10.00,10.00,77002.37,3.08%,7,0,,,18646ad82d0a,7,,,,,,5
27d327937ada,/Users/olatreche/Library/Application Support/net.metaquotes.wine.metatrader4/drive_c/Program Files (x86)/MetaTrader 4/tester/logs/20260508.log,897,1031,v6.0_or_early,2024Q2,2024-05-01,2024-07-31,2024.05.01 01:00,2024.05.06 12:00,-,-,ACTIVE_CHALLENGE,false,-0.83,-0.83,71087.73,3.78%,7,0,,,18646ad82d0a,7,,,,,,5
a72da4b40fa1,/Users/olatreche/Library/Application Support/net.metaquotes.wine.metatrader4/drive_c/Program Files (x86)/MetaTrader 4/tester/logs/20260508.log,1032,1106,v6.0_or_early,2024Q1,2024-02-01,2024-04-30,2024.02.01 01:00,2024.02.01 04:00,2024.03.05 15:31,-,PROTECTING_PROFIT,false,4.48,4.48,76199.78,4.05%,12,0,,,18646ad82d0a,7,,,,,,5
e10fea66af6b,/Users/olatreche/Library/Application Support/net.metaquotes.wine.metatrader4/drive_c/Program Files (x86)/MetaTrader 4/tester/logs/20260508.log,1107,1177,v6.0_or_early,2024Q1,2024-03-01,2024-05-31,2024.03.01 01:00,2024.03.01 03:00,2024.03.05 15:30,-,PROTECTING_PROFIT,false,3.12,3.12,76441.26,5.57%,11,0,,,18646ad82d0a,7,,,,,,5
c0a642061172,/Users/olatreche/Library/Application Support/net.metaquotes.wine.metatrader4/drive_c/Program Files (x86)/MetaTrader 4/tester/logs/20260508.log,1178,1229,v6.0_or_early,2024Q2,2024-04-01,2024-06-28,2024.04.01 01:00,2024.04.01 01:00,-,-,ACTIVE_CHALLENGE,false,-1.08,-1.08,71439.22,3.07%,6,0,,,18646ad82d0a,7,,,,,,5
ce96e4b598e9,/Users/olatreche/Library/Application Support/net.metaquotes.wine.metatrader4/drive_c/Program Files (x86)/MetaTrader 4/tester/logs/20260508.log,1230,1298,v6.0_or_early,2024Q3,2024-08-01,2024-10-31,2024.08.01 01:00,2024.08.01 01:00,2024.08.13 10:31,-,PROTECTING_PROFIT,false,2.96,2.96,74832.26,3.69%,11,0,,,18646ad82d0a,7,,,,,,5
2db41601c19e,/Users/olatreche/Library/Application Support/net.metaquotes.wine.metatrader4/drive_c/Program Files (x86)/MetaTrader 4/tester/logs/20260508.log,1299,1371,v6.0_or_early,2024Q3,2024-09-01,2024-11-29,2024.09.02 01:00,2024.09.02 13:00,-,-,ACTIVE_CHALLENGE,false,2.18,2.18,72330.50,4.26%,9,0,,,18646ad82d0a,7,,,,,,5
