date,event,event_utc,pos_pct_52w,bucket,bar0_range_atr,bar0_dir,combined_range_atr,combined_dir,combined_signed_atr
2020-01-03,NFP,2020-01-03T13:30:00,42.3,NEUTRAL,1.958,1,2.57,1,1.863
2020-01-14,CPI,2020-01-14T13:30:00,53.8,NEUTRAL,1.7,-1,1.992,-1,-0.151
2020-01-29,FOMC,2020-01-29T19:00:00,73.1,NEUTRAL,1.798,1,1.798,1,1.101
2020-02-07,NFP,2020-02-07T13:30:00,46.2,NEUTRAL,1.732,1,2.159,-1,-0.367
2020-02-13,CPI,2020-02-13T13:30:00,34.6,NEUTRAL,1.992,-1,1.992,-1,-0.815
2020-03-03,FOMC,2020-03-03T19:00:00,19.2,CROWDED_SHORT,1.199,-1,1.199,-1,-0.076
2020-03-06,NFP,2020-03-06T13:30:00,40.4,NEUTRAL,1.557,-1,1.557,-1,-0.336
2020-03-11,CPI,2020-03-11T12:30:00,100.0,CROWDED_LONG,1.347,-1,1.347,-1,-0.804
2020-04-03,NFP,2020-04-03T12:30:00,100.0,CROWDED_LONG,0.8,1,1.214,1,0.445
2020-04-10,CPI,2020-04-10T12:30:00,100.0,CROWDED_LONG,0.442,1,0.617,1,0.003
2020-04-29,FOMC,2020-04-29T18:00:00,96.2,CROWDED_LONG,1.42,1,1.42,1,0.915
2020-05-01,NFP,2020-05-01T12:30:00,96.2,CROWDED_LONG,1.29,1,1.29,1,0.168
2020-05-12,CPI,2020-05-12T12:30:00,92.3,CROWDED_LONG,1.627,1,1.627,1,0.062
2020-06-05,NFP,2020-06-05T12:30:00,88.5,CROWDED_LONG,1.433,-1,1.515,-1,-1.033
2020-06-10,FOMC,2020-06-10T18:00:00,100.0,CROWDED_LONG,2.822,1,2.822,1,0.358
2020-06-10,CPI,2020-06-10T12:30:00,100.0,CROWDED_LONG,1.39,-1,2.987,1,0.111
2020-07-03,NFP,2020-07-03T12:30:00,96.2,CROWDED_LONG,0.943,1,0.943,1,0.683
2020-07-14,CPI,2020-07-14T12:30:00,96.2,CROWDED_LONG,1.598,1,1.665,1,0.394
2020-07-29,FOMC,2020-07-29T18:00:00,100.0,CROWDED_LONG,1.403,1,1.403,1,0.305
2020-08-07,NFP,2020-08-07T12:30:00,100.0,CROWDED_LONG,2.145,-1,2.145,-1,-0.687
2020-08-12,CPI,2020-08-12T12:30:00,100.0,CROWDED_LONG,1.581,1,1.581,1,0.582
2020-09-04,NFP,2020-09-04T12:30:00,96.2,CROWDED_LONG,2.038,-1,2.039,-1,-0.012
2020-09-11,CPI,2020-09-11T12:30:00,98.1,CROWDED_LONG,0.9,-1,0.945,-1,-0.271
2020-09-16,FOMC,2020-09-16T18:00:00,90.4,CROWDED_LONG,2.616,-1,2.616,-1,-1.17
2020-10-02,NFP,2020-10-02T12:30:00,98.1,CROWDED_LONG,1.057,-1,1.057,-1,-0.368
2020-10-13,CPI,2020-10-13T12:30:00,84.6,CROWDED_LONG,2.91,-1,3.125,-1,-1.85
2020-11-05,FOMC,2020-11-05T19:00:00,73.1,NEUTRAL,1.036,1,1.191,-1,-0.171
2020-11-06,NFP,2020-11-06T13:30:00,73.1,NEUTRAL,0.774,-1,0.774,1,0.081
2020-11-12,CPI,2020-11-12T13:30:00,71.2,NEUTRAL,0.85,1,0.899,-1,-0.126
2020-12-04,NFP,2020-12-04T13:30:00,69.2,NEUTRAL,1.34,-1,1.34,-1,-0.976
2020-12-10,CPI,2020-12-10T13:30:00,73.1,NEUTRAL,2.775,1,2.775,1,1.569
2020-12-16,FOMC,2020-12-16T19:00:00,69.2,NEUTRAL,2.307,-1,2.745,1,0.32
2021-01-13,CPI,2021-01-13T13:30:00,73.1,NEUTRAL,0.788,-1,1.192,-1,-0.258
2021-01-27,FOMC,2021-01-27T19:00:00,75.0,NEUTRAL,1.535,1,1.535,1,0.45
2021-02-05,NFP,2021-02-05T13:30:00,46.2,NEUTRAL,2.144,1,2.662,1,2.381
2021-02-10,CPI,2021-02-10T13:30:00,48.1,NEUTRAL,1.078,1,1.078,1,0.206
2021-03-05,NFP,2021-03-05T13:30:00,32.7,NEUTRAL,1.706,-1,1.706,-1,-0.618
2021-03-10,CPI,2021-03-10T13:30:00,15.4,CROWDED_SHORT,1.584,1,1.584,1,1.1
2021-03-17,FOMC,2021-03-17T18:00:00,11.5,CROWDED_SHORT,3.329,1,3.408,1,2.958
2021-04-02,NFP,2021-04-02T12:30:00,1.9,CROWDED_SHORT,1.655,-1,1.655,-1,-0.523
2021-04-13,CPI,2021-04-13T12:30:00,1.9,CROWDED_SHORT,2.817,1,3.378,1,2.548
2021-04-28,FOMC,2021-04-28T18:00:00,7.7,CROWDED_SHORT,2.961,1,2.989,1,1.596
2021-05-07,NFP,2021-05-07T12:30:00,11.5,CROWDED_SHORT,4.078,1,4.318,1,3.866
2021-05-12,CPI,2021-05-12T12:30:00,15.4,CROWDED_SHORT,2.765,-1,2.765,-1,-1.386
2021-06-04,NFP,2021-06-04T12:30:00,25.0,NEUTRAL,2.894,1,2.894,1,2.188
2021-06-10,CPI,2021-06-10T12:30:00,23.1,NEUTRAL,2.683,-1,2.683,-1,-0.314
2021-06-16,FOMC,2021-06-16T18:00:00,28.8,NEUTRAL,5.44,-1,6.231,-1,-5.668
2021-07-02,NFP,2021-07-02T12:30:00,11.5,CROWDED_SHORT,2.401,1,3.085,1,1.997
