date,event,event_utc,pos_pct_52w,bucket,bar0_range_atr,bar0_dir,combined_range_atr,combined_dir,combined_signed_atr
2020-01-03,NFP,2020-01-03T13:30:00,38.5,NEUTRAL,1.187,1,1.878,-1,-0.07
2020-01-14,CPI,2020-01-14T13:30:00,30.8,NEUTRAL,1.235,1,1.769,1,0.119
2020-01-29,FOMC,2020-01-29T19:00:00,55.8,NEUTRAL,1.025,-1,1.407,-1,-0.763
2020-02-07,NFP,2020-02-07T13:30:00,36.5,NEUTRAL,2.366,-1,2.366,-1,-0.47
2020-02-13,CPI,2020-02-13T13:30:00,42.3,NEUTRAL,1.29,1,1.394,1,0.639
2020-03-03,FOMC,2020-03-03T19:00:00,71.2,NEUTRAL,1.016,-1,1.149,-1,-0.733
2020-03-06,NFP,2020-03-06T13:30:00,61.5,NEUTRAL,1.473,1,1.473,-1,-0.136
2020-03-11,CPI,2020-03-11T12:30:00,19.2,CROWDED_SHORT,0.578,1,0.792,-1,-0.026
2020-04-03,NFP,2020-04-03T12:30:00,15.4,CROWDED_SHORT,0.878,1,1.014,-1,-0.152
2020-04-10,CPI,2020-04-10T12:30:00,9.6,CROWDED_SHORT,0.354,-1,0.502,-1,-0.198
2020-04-29,FOMC,2020-04-29T18:00:00,1.9,CROWDED_SHORT,0.838,-1,0.838,-1,-0.249
2020-05-01,NFP,2020-05-01T12:30:00,1.9,CROWDED_SHORT,1.463,1,1.463,1,0.481
2020-05-12,CPI,2020-05-12T12:30:00,19.2,CROWDED_SHORT,0.921,-1,1.131,-1,-0.535
2020-06-05,NFP,2020-06-05T12:30:00,9.6,CROWDED_SHORT,2.123,1,2.123,1,1.283
2020-06-10,FOMC,2020-06-10T18:00:00,34.6,NEUTRAL,1.507,-1,1.795,-1,-0.78
2020-06-10,CPI,2020-06-10T12:30:00,34.6,NEUTRAL,0.878,-1,1.459,-1,-0.711
2020-07-03,NFP,2020-07-03T12:30:00,32.7,NEUTRAL,0.252,-1,0.306,-1,-0.209
2020-07-14,CPI,2020-07-14T12:30:00,40.4,NEUTRAL,1.393,-1,1.604,-1,-0.538
2020-07-29,FOMC,2020-07-29T18:00:00,36.5,NEUTRAL,1.224,-1,1.224,-1,-0.048
2020-08-07,NFP,2020-08-07T12:30:00,15.4,CROWDED_SHORT,1.978,1,1.978,1,1.131
2020-08-12,CPI,2020-08-12T12:30:00,30.8,NEUTRAL,1.317,-1,1.317,-1,-0.277
2020-09-04,NFP,2020-09-04T12:30:00,11.5,CROWDED_SHORT,1.545,1,1.564,1,0.177
2020-09-11,CPI,2020-09-11T12:30:00,40.4,NEUTRAL,0.757,1,0.933,-1,-0.486
2020-09-16,FOMC,2020-09-16T18:00:00,36.5,NEUTRAL,1.866,1,1.866,1,0.666
2020-10-02,NFP,2020-10-02T12:30:00,38.5,NEUTRAL,1.376,1,1.383,1,1.074
2020-10-13,CPI,2020-10-13T12:30:00,51.9,NEUTRAL,1.173,1,1.254,-1,-0.308
2020-11-05,FOMC,2020-11-05T19:00:00,42.3,NEUTRAL,1.002,-1,1.118,-1,-0.137
2020-11-06,NFP,2020-11-06T13:30:00,42.3,NEUTRAL,1.389,1,1.389,-1,-0.046
2020-11-12,CPI,2020-11-12T13:30:00,1.9,CROWDED_SHORT,0.816,-1,0.86,-1,-0.748
2020-12-04,NFP,2020-12-04T13:30:00,1.9,CROWDED_SHORT,1.828,1,1.828,1,0.468
2020-12-10,CPI,2020-12-10T13:30:00,3.8,CROWDED_SHORT,2.089,-1,2.32,-1,-2.147
2020-12-16,FOMC,2020-12-16T19:00:00,7.7,CROWDED_SHORT,2.03,1,2.521,-1,-0.136
2021-01-13,CPI,2021-01-13T13:30:00,0.0,CROWDED_SHORT,1.051,-1,1.051,-1,-0.428
2021-01-27,FOMC,2021-01-27T19:00:00,15.4,CROWDED_SHORT,0.941,1,1.16,1,0.311
2021-02-05,NFP,2021-02-05T13:30:00,15.4,CROWDED_SHORT,2.154,-1,2.542,-1,-1.016
2021-02-10,CPI,2021-02-10T13:30:00,42.3,NEUTRAL,1.392,-1,1.392,-1,-0.626
2021-03-05,NFP,2021-03-05T13:30:00,92.3,CROWDED_LONG,2.399,-1,2.399,-1,-0.256
2021-03-10,CPI,2021-03-10T13:30:00,98.1,CROWDED_LONG,1.875,-1,1.875,-1,-1.54
2021-03-17,FOMC,2021-03-17T18:00:00,98.1,CROWDED_LONG,2.908,-1,3.108,-1,-1.598
2021-04-02,NFP,2021-04-02T12:30:00,98.1,CROWDED_LONG,1.14,1,1.14,1,0.578
2021-04-13,CPI,2021-04-13T12:30:00,96.2,CROWDED_LONG,1.949,-1,2.503,-1,-1.648
2021-04-28,FOMC,2021-04-28T18:00:00,88.5,CROWDED_LONG,1.905,-1,2.239,-1,-1.366
2021-05-07,NFP,2021-05-07T12:30:00,86.5,CROWDED_LONG,3.897,-1,3.897,-1,-2.522
2021-05-12,CPI,2021-05-12T12:30:00,86.5,CROWDED_LONG,2.948,1,3.3,1,2.969
2021-06-04,NFP,2021-06-04T12:30:00,82.7,CROWDED_LONG,3.795,-1,3.795,-1,-2.945
2021-06-10,CPI,2021-06-10T12:30:00,75.0,NEUTRAL,2.286,-1,2.927,-1,-1.264
2021-06-16,FOMC,2021-06-16T18:00:00,82.7,CROWDED_LONG,4.761,1,5.725,1,5.445
2021-07-02,NFP,2021-07-02T12:30:00,94.2,CROWDED_LONG,2.351,-1,3.381,-1,-2.111
2021-07-13,CPI,2021-07-13T12:30:00,88.5,CROWDED_LONG,1.773,1,2.221,1,1.949
2021-07-28,FOMC,2021-07-28T18:00:00,78.8,NEUTRAL,2.2,-1,2.2,-1,-0.867
2021-08-06,NFP,2021-08-06T12:30:00,75.0,NEUTRAL,2.513,1,2.513,1,1.878
2021-08-11,CPI,2021-08-11T12:30:00,75.0,NEUTRAL,2.041,-1,2.505,-1,-1.77
2021-09-03,NFP,2021-09-03T12:30:00,78.8,NEUTRAL,2.011,-1,2.011,-1,-1.381
2021-09-14,CPI,2021-09-14T12:30:00,71.2,NEUTRAL,3.504,-1,3.937,-1,-2.922
2021-09-22,FOMC,2021-09-22T18:00:00,63.5,NEUTRAL,1.929,1,1.929,1,1.106
2021-10-01,NFP,2021-10-01T12:30:00,65.4,NEUTRAL,1.051,-1,1.051,-1,-0.484
2021-10-13,CPI,2021-10-13T12:30:00,75.0,NEUTRAL,2.086,-1,2.086,-1,-1.018
2021-11-03,FOMC,2021-11-03T18:00:00,98.1,CROWDED_LONG,1.805,-1,1.805,1,0.021
2021-11-05,NFP,2021-11-05T12:30:00,98.1,CROWDED_LONG,2.309,-1,2.758,-1,-1.873
2021-11-10,CPI,2021-11-10T13:30:00,98.1,CROWDED_LONG,2.815,1,3.101,1,2.198
2021-12-03,NFP,2021-12-03T13:30:00,84.6,CROWDED_LONG,1.487,-1,2.533,-1,-1.71
2021-12-10,CPI,2021-12-10T13:30:00,55.8,NEUTRAL,1.927,-1,2.182,-1,-1.321
2021-12-15,FOMC,2021-12-15T19:00:00,50.0,NEUTRAL,2.6,1,2.6,1,1.579
2022-01-07,NFP,2022-01-07T13:30:00,21.2,NEUTRAL,1.3,-1,1.461,-1,-0.932
2022-01-12,CPI,2022-01-12T13:30:00,88.5,CROWDED_LONG,2.739,-1,4.641,-1,-4.265
2022-01-26,FOMC,2022-01-26T19:00:00,71.2,NEUTRAL,1.989,1,2.188,1,1.655
2022-02-04,NFP,2022-02-04T13:30:00,50.0,NEUTRAL,2.713,1,2.713,1,1.608
2022-02-10,CPI,2022-02-10T13:30:00,38.5,NEUTRAL,2.603,1,2.669,1,0.408
2022-03-04,NFP,2022-03-04T13:30:00,61.5,NEUTRAL,2.925,-1,3.562,-1,-2.727
2022-03-10,CPI,2022-03-10T13:30:00,5.8,CROWDED_SHORT,1.457,1,1.457,1,0.674
2022-03-16,FOMC,2022-03-16T18:00:00,19.2,CROWDED_SHORT,2.224,1,2.224,1,1.218
2022-04-01,NFP,2022-04-01T12:30:00,94.2,CROWDED_LONG,0.931,1,0.931,1,0.132
2022-04-12,CPI,2022-04-12T12:30:00,94.2,CROWDED_LONG,2.227,-1,2.227,-1,-0.378
